Column_1,Column_2,Column_3,Column_4,Column_5,Column_6
No.,Perusahaan,KBLI,,,
1.,PT  Warisan Eurindo,"Jl. Raya Padang Luwih No. 198, Br. Tegal Jaya RT/RW 000/000, Dalung, Kuta Utara, Kabupaten Badung, Bali",Telp. +62361 421752,,31001
2.,PR A A Gd Oka Yasa,"DUSUN PENINJOAN DESA PAKSEBALI, Desa/Kelurahan Paksebali, Kec. Dawan, Kab. Klungkung, Provinsi Bali, Paksebali, Dawan, Kabupaten Klungkung, Bali",Telp. 085*********,,32903
3.,PR A. A. Istri Dwi Candra Ningrum,"LING/BR.BRAHMANA BUKIT, Cempaga, Bangli, Kabupaten Bangli, Bali",Telp. 081*********,,16291
4.,PR Abdul Gofur,"Banjar Klatakan, Melaya, Melaya, Kabupaten Jembrana, Bali",Telp. 085*********,,31001
5.,PT Adi Jaya Beton,"Jalan By Pass Ngurah Rai No 229X Sanur Denpasar Selatan (Seberang Lotte Mart), Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali",Telp. 081*********,,23953
6.,PT Aditya Sinar Pratama,"Jalan Baypass Ida bagus Mantra, Banjar Lodpeken, Keramas, Blahbatuh, Kabupaten Gianyar, Bali",Telp. 0361248967,,23957
7.,PT Aditya Sinar Pratama,"Banjar Delod Rurung, Dusun dinas Antasari, Antosari, Selemadeg Barat, Kabupaten Tabanan, Bali",Telp. 0361248967,,23990
8.,PT Adrift Bali Indonesia,"JALAN GUNUNG SALAK NO.40, PADANG SAMBIAN, DENPASAR BARAT, Kota Denpasar, Bali",Telp. 03619067597,,14120
9.,PR Agro Abian Salak,"Br. Dinas Telaga, Sibetan, Bebandem, Kabupaten Karang Asem, Bali",Telp. 085*********,,10399
10.,CV Agro Konjac Bali,"Jalan Samudra Loka, Desa Lokapaksa, Lokapaksa, Seririt, Kabupaten Buleleng, Bali",Telp. 087*********,,
11.,PR Agung Ayu Ketut Tariawati,"Banjar Serong, Gumbrih, Pekutatan, Kabupaten Jembrana, Bali",Telp. 085*********,,10774
12.,PR Agung Koko Wichaksana Sapanca,"Jln.Werkudara No.18, Delod Peken, Tabanan, Kabupaten Tabanan, Bali",Telp. 083*********,,
13.,PT Agung Semesta Nusantara,"Br. Pengeregan Kelod, Lumbung, Selemadeg Barat, Kabupaten Tabanan, Bali",Telp. 081*********,,11010
14.,PR Agus Irawan,"Lingkungan Ketapang, Lelateng, Negara, Kabupaten Jembrana, Bali",Telp. 083*********,,10392
15.,CV Agus Subarjo,"Jalan Hasannudin Gang Attaufiq Singaraja, Kampung Kajanan, Buleleng, Kabupaten Buleleng, Bali",Telp. 087*********,,
16.,PR Ahmad Mutawiin,"Jalan Raya Denpasar-Gilimanuk, Candikusuma, Melaya, Kabupaten Jembrana, Bali",Telp. +6282340224607,,31001
17.,PT Air Gangga Dewata Alami,"Jl. Permata Pering, Pering, Blahbatuh, Kabupaten Gianyar, Bali",Telp. 03614402956,,11051
18.,PT Airkyndo Bali,"PADANG SAMBIAN KM. 5, Padang Sambian Kaja, Denpasar Barat, Kota Denpasar, Bali",Telp. 085*********,,
19.,PT Aiti Solusi Kreatif,"Jl. Sunset Road No. 99, Lingkungan Legian Kaja, Legian, Kuta, Kabupaten Badung, Bali",Telp. 081*********,,
20.,PR Akaethnic,"Br. Batursari Mengwitani Kec. Mengwi, Mengwitani, Mengwi, Kabupaten Badung, Bali",Telp. 081*********,,15121
21.,PR Akar Mas Natura,"Perum Graha Kencana no. 6B, Jl. Imam Bonjol, Pemecutan  Kelod, Denpasar Barat, Kota Denpasar, Bali",Telp. 085*********,,10411
22.,PT AKAR SUKSES PRATAMA,"Jl. Kumba Karna No. 20, Baktiseraga, Buleleng, Kabupaten Buleleng, Bali",Telp. 0362-3306791,,11010
23.,PT AKAR WANGI,"JL. SAHADEWA NO 3A BANJAR KALAH, PELIATAN, UBUD, Kabupaten Gianyar, Bali",Telp. 081*********,,32909
24.,PT Akasha Shatya Wibawa,"Suwung Batan Kendal, Kec. Denpasar Selatan, Kota Denpasar, Provinsi Bali, Sesetan, Denpasar Selatan, Kota Denpasar, Bali",Telp. 087*********,,28160
25.,CV Akemi Bali Craft,"dusun beneng desa getakan, Getakan, Banjarangkan, Kabupaten Klungkung, Bali",Telp. 0366 5596200,,16299
26.,PT Akira Klan Bali,"Jl. Gunung Athena Perumahan Bali Griya Residence No. 44, Padangsambian, Denpasar Barat, Kota Denpasar, Bali",Telp. 081*********,,14112
27.,PT Akr Corporindo,"Jalan Ikan Tuna I Pelabuhan Benoa,, Pedungan, Denpasar Selatan, Kota Denpasar, Bali",Telp. 021-5311110,,19291
